family	has_parent	total_paralogs	paralogs_detected	supported	robust expression	parent correlated	low expression	unsupported	parent_mean_TPM	mean_paralog_TPM	paralog_parent_TPM_ratio	paralogs_parent correlated	parent_n_tissues
Ckb	True	1	1	0	0	1	0	0	1423.3227	2449.7823	1.7212	1	6
Cks1b	True	1	1	0	0	1	0	0	120.6713	216.8318	1.7969	1	6
Clca4	True	1	1	0	0	0	1	0	1.2301	0.1053	0.0856	1	6
Clec4a	True	2	2	0	0	2	0	0	11.7062	31.2373	5.3369	2	6
Clec4g	True	1	1	0	0	0	1	0	218.1620	2.0517	0.0094	0	6
Clic1	True	1	1	0	0	1	0	0	274.9895	78.2492	0.2846	1	6
Clint1	True	1	1	0	0	1	0	0	53.8974	2.5393	0.0471	1	6
Clns1a	True	2	2	0	0	2	0	0	30.7299	102.9674	6.7015	2	6
Cmc1	True	1	1	1	0	0	0	0	6.7749	625.4915	92.3245	0	6
Cmc4	True	1	1	1	0	0	0	0	134.1946	204.0226	1.5203	0	6
Cmpk1	True	2	2	0	0	2	0	0	69.5681	1341.9574	38.5797	2	6
Cmtm8	True	1	1	0	0	1	0	0	13.4285	158.0274	11.7681	1	6
Cnn3	True	2	2	0	0	2	0	0	423.7640	836.4689	3.9478	2	6
Coa3	True	1	1	1	0	0	0	0	27.3526	1845.3039	67.4635	0	6
Coa6	True	1	1	1	0	0	0	0	222.1946	383.9451	1.7280	0	6
Cobll1	True	1	1	0	0	1	0	0	15.4009	58.5759	3.8034	1	6
Coil	True	1	1	0	0	1	0	0	31.9777	38.4303	1.2018	1	6
Copb2	True	1	1	1	0	0	0	0	60.6395	1228.0927	20.2524	0	6
Cops2	True	1	1	0	0	1	0	0	42.8094	42.9721	1.0038	1	6
Cox15	True	1	1	1	0	0	0	0	38.4579	314.6158	8.1808	0	6
Cox19	True	1	1	1	0	0	0	0	174.8878	10.1582	0.0581	0	6
Cox6a1	True	2	2	0	0	1	1	0	2117.3308	1311.4468	1.2388	1	6
Cox6b1	True	3	3	0	0	3	0	0	505.4562	2013.3134	11.9495	3	6
Cox6c	True	5	5	4	0	1	0	0	64.3261	839.5583	65.2579	1	6
Cox7a2	True	4	4	0	0	4	0	0	385.6619	1286.5388	13.3437	4	6
Cox7b	True	7	7	1	0	4	2	0	90.4930	591.8998	45.7858	5	6
Cox7c	True	2	2	0	0	2	0	0	5553.6533	352.5606	0.1270	2	6
Cox8a	True	1	1	0	0	1	0	0	1746.2447	870.9443	0.4988	1	6
Cpm	True	1	1	0	0	0	1	0	29.4888	0.3085	0.0105	0	6
Cpt2	True	1	1	0	0	1	0	0	38.4871	72.1912	1.8757	1	6
Crcp	True	1	1	0	0	1	0	0	10.6985	84.1775	7.8682	1	6
Crip1	True	2	1	0	0	1	0	1	152.0739	722.0220	9.4957	1	6
Cript	True	2	2	1	0	1	0	0	108.9333	79.5315	1.4602	1	6
Crisp3	True	1	1	0	0	0	1	0	1.0078	0.5925	0.5879	0	3
Cryz	True	1	1	0	0	1	0	0	80.6596	566.9896	7.0294	1	6
Cs	True	1	1	0	0	1	0	0	455.6057	1798.9404	3.9485	1	6
Cse1l	True	1	1	0	0	1	0	0	55.7114	423.1754	7.5958	1	6
